Rank_QS,Previous_Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,Academic_Reputation_Score,Academic Reputation  RANK,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Ratio_Score,Faculty_Student_Ratio_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International Faculty  SCORE,International Faculty  RANK,International_Student_Score,International student  RANK,International_Students_Diversity_Score,International_Students_Diversity_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,QS_Overall_Score,Rank_THE,Country,Student_Population,Students_to_Staff_Ratio,International_Students,Female_to_Male_Ratio,THE_Overall_Score,Teaching,Research_Environment,Research_Quality,Industry_Impact,International_Outlook,Year,Country,QS_Rank_Normalized,THE_Rank_Normalized
556,477,Indian Institute of Technology Indore,India,Asia,S,FO,VH,Public,8.0,701,16.9,701,28.8,658,96.9,57,1.8,801,1.3,801.0,5.7,801.0,28.2,801.0,5.3,801,34.7,801,29.6,573.0,India,2332.0,12.5,0.0,24 : 76,44.5425,42.9,28.9,63.9,40.9,36.0,2026.0,India,556.0,573.0
558,552,Al Ain University,United Arab Emirates,Asia,S,FO,VH,Private not for Profit,25.6,494,20.8,631,20.8,801,17.0,764,100.0,1,100.0,20.0,74.4,238.0,37.1,801.0,7.3,801,42.9,801,29.5,428.0,United Arab Emirates,2588.0,11.0,0.61,"2 days, 3:49:00",48.8045,28.0,30.2,78.7,18.6,99.1,2026.0,United Arab Emirates,558.0,428.0
558,526,Coventry University,United Kingdom,Europe,L,CO,VH,Public,16.0,701,18.5,697,21.8,798,14.8,801,85.1,258,99.5,62.0,99.5,51.0,84.3,271.0,18.4,752,71.2,297=,29.5,685.0,United Kingdom,30640.0,14.6,0.58,"2 days, 2:50:00",41.677,21.6,15.1,73.5,44.9,94.4,2026.0,United Kingdom,558.0,685.0
558,580,Jawaharlal Nehru University,India,Asia,M,CO,VH,Public,39.8,303,17.4,701,16.7,801,37.6,497,20.1,,1.7,801.0,6.0,801.0,56.9,737.0,20.6,716,59.3,514=,29.5,821.0,India,7759.0,11.2,0.01,"1 day, 18:58:00",38.5834999999999,46.0,24.4,48.5,39.5,24.1,2026.0,India,558.0,821.0
563,611-620,American University of the Middle East,Kuwait,Asia,M,SP,HI,Private for Profit,25.9,487,34.7,416,28.9,652,8.9,801,100.0,7,36.9,528.0,38.6,512.0,67.2,586.0,6.1,801,47.2,783=,29.4,614.0,Kuwait,5014.0,11.1,0.15,"2 days, 14:38:00",43.3375,29.1,19.5,71.9,27.7,85.6,2026.0,Kuwait,563.0,614.0
563,574,University of Debrecen,Hungary,Europe,L,FC,HI,Public,27.3,458,21.5,613,45.9,426,7.4,801,14.4,801,76.5,248.0,78.7,220.0,74.9,444.0,25.9,625,70.4,311=,29.4,876.0,Hungary,20923.0,12.2,0.25,"2 days, 8:44:00",37.6635,41.7,18.2,45.7,50.6,58.0,2026.0,Hungary,563.0,876.0
566,474,Bangor University,United Kingdom,Europe,M,FC,VH,Public,12.8,701,10.5,701,18.9,801,44.4,422,38.1,515,77.4,239.0,79.5,210.0,74.7,447.0,16.9,787,78.0,195=,29.3,507.0,United Kingdom,9035.0,15.7,0.31,"2 days, 11:41:00",46.0389999999999,28.3,26.0,70.3,63.2,87.1,2026.0,United Kingdom,566.0,507.0
566,631-640,Savitribai Phule Pune University,India,Asia,M,CO,VH,Public,11.1,701,20.3,647,47.1,420,63.8,257,20.1,,3.3,801.0,7.5,801.0,54.7,773.0,30.4,547,43.0,801,29.3,969.0,India,6043.0,12.2,0.02,"1 day, 22:54:00",36.044,40.9,13.3,56.2,37.1,23.7,2026.0,India,566.0,969.0
566,611-620,University of Minho,Portugal,Europe,L,FC,VH,Public,22.2,564,17.1,701,28.3,676,38.6,485,21.3,694,26.0,645.0,32.0,589.0,83.6,284.0,15.7,801,67.7,353=,29.3,663.0,Portugal,21465.0,20.8,0.13,"2 days, 7:45:00",42.1055,28.0,33.6,57.1,82.6,48.9,2026.0,Portugal,566.0,663.0
575,611-620,Brno University of Technology,Czechia,Europe,L,FO,VH,Public,17.7,691,36.4,393,37.0,544,13.7,801,26.7,631,77.3,241.0,79.2,215.0,80.7,339.0,15.7,801,61.3,471=,29.1,1316.0,Czechia,17555.0,14.5,0.26,28 : 72,30.113,24.6,17.7,34.5,73.7,59.0,2026.0,Czechia,575.0,1316.0
578,562,Universiti Teknologi Brunei,Brunei Darussalam,Asia,S,FO,VH,Public,20.2,609,13.1,701,86.5,123,22.7,673,100.0,62,7.7,801.0,11.5,801.0,20.7,801.0,16.6,794,34.7,801,29,758.0,Brunei Darussalam,1977.0,7.7,0.04,"2 days, 13:39:00",39.908,29.9,14.0,68.5,33.5,68.5,2026.0,Brunei Darussalam,578.0,758.0
582,547,University of Iceland,Iceland,Europe,M,CO,VH,Public,9.6,701,2.0,701,99.6,35,18.0,751,32.4,557,18.1,761.0,24.2,700.0,75.5,432.0,89.3,110,49.4,719=,28.8,521.0,Iceland,9343.0,16.0,0.13,"2 days, 21:31:00",45.748,24.6,35.3,69.3,83.1,55.2,2026.0,Iceland,582.0,521.0
584,621-630,Charles Darwin University,Australia,Oceania,M,FO,VH,Public,7.8,701,7.3,701,6.4,801,65.1,247,41.8,483,88.9,178.0,88.5,154.0,49.7,801.0,4.8,801,70.7,305=,28.7,467.0,Australia,7195.0,23.9,0.38,"2 days, 17:35:00",47.2335,22.7,29.9,78.9,50.4,82.4,2026.0,Australia,584.0,467.0
584,554,University of Dhaka,Bangladesh,Asia,XL,FC,HI,Public,30.5,401,51.3,242,10.5,801,6.9,801,2.2,801,1.4,801.0,1.3,801.0,57.8,720.0,97.0,59,54.2,619=,28.7,931.0,Bangladesh,35843.0,18.6,0.0,"1 day, 20:56:00",36.7315,17.7,13.3,76.5,33.2,45.0,2026.0,Bangladesh,584.0,931.0
587,641-650,National Central University,Taiwan,Asia,M,CO,VH,Public,28.9,428,38.7,360,26.4,706,25.6,628,18.5,735,18.4,755.0,20.4,755.0,33.9,801.0,18.7,747,60.6,496,28.6,1158.0,Taiwan,11391.0,10.1,0.07,37 : 63,32.729,31.0,25.1,30.7,99.0,41.8,2026.0,Taiwan,587.0,1158.0
591,587,Bond University,Australia,Oceania,S,FO,VH,Private not for Profit,5.9,701,8.3,701,52.1,362,53.8,346,63.5,366,90.4,164.0,91.2,139.0,24.6,801.0,11.6,801,23.5,801,28.5,462.0,Australia,3588.0,10.2,0.32,"2 days, 8:44:00",47.509,26.8,21.9,87.3,25.8,80.4,2026.0,Australia,591.0,462.0
595,621-630,Zayed University,United Arab Emirates,Asia,M,SP,VH,Public,19.8,625,31.7,452,34.7,567,21.8,688,100.0,17,2.8,801.0,7.1,801.0,48.5,801.0,29.3,561,41.1,801,28.4,497.0,United Arab Emirates,7520.0,13.7,0.02,"3 days, 11:17:00",46.3715,21.8,21.7,85.8,59.5,73.7,2026.0,United Arab Emirates,595.0,497.0
597,554,Hasselt University,Belgium,Europe,M,FC,HI,Public,8.8,701,5.2,701,85.7,128,22.8,671,78.5,306,41.1,483.0,46.4,448.0,69.8,533.0,6.6,801,62.7,444=,28.3,345.0,Belgium,6128.0,28.4,0.16,"2 days, 2:50:00",51.979,35.0,37.8,72.8,87.8,71.2,2026.0,Belgium,597.0,345.0
597,611-620,Taipei Medical University,Taiwan,Asia,M,SP,VH,Private not for Profit,16.9,701,14.7,701,94.2,83,32.3,558,20.0,713,22.0,699.0,16.6,801.0,24.7,801.0,11.9,801,48.1,757=,28.3,418.0,Taiwan,6154.0,8.8,0.11,"2 days, 11:41:00",49.1855,46.3,32.2,63.6,86.6,48.6,2026.0,Taiwan,597.0,418.0
597,570,University of Szeged,Hungary,Europe,L,FC,HI,Private not for Profit,26.2,484,22.7,583,41.9,482,8.9,801,15.4,801,56.4,368.0,60.6,336.0,75.3,438.0,29.0,574,69.4,323=,28.3,1170.0,Hungary,21326.0,13.2,0.19,"2 days, 8:44:00",32.6329999999999,31.2,16.4,42.3,48.7,53.8,2026.0,Hungary,597.0,1170.0
604,601-610,National Chengchi University,Taiwan,Asia,L,CO,HI,Public,28.3,444,46.9,279,21.2,801,3.4,801,38.0,516,36.2,532.0,41.1,497.0,12.8,801.0,93.3,84,41.4,801,28.2,1295.0,Taiwan,13230.0,15.7,0.16,"2 days, 9:43:00",30.4405,27.1,28.9,25.1,62.5,53.8,2026.0,Taiwan,604.0,1295.0
604,535,University of Eastern Finland,Finland,Europe,L,CO,VH,Public,18.9,649,10.3,701,45.0,435,35.3,520,39.2,507,12.0,801.0,17.9,797.0,84.0,275.0,5.6,801,71.2,297=,28.2,482.0,Finland,12849.0,17.1,0.07,"2 days, 20:32:00",46.8674999999999,28.6,31.1,76.6,67.6,49.7,2026.0,Finland,604.0,482.0
607,691-700,University of Siena,Italy,Europe,M,FC,VH,Public,21.4,580,7.8,701,15.3,801,60.2,288,4.6,801,19.7,734.0,25.8,673.0,61.2,675.0,12.3,801,63.4,433=,28,371.0,Italy,10480.0,16.8,0.09,"2 days, 15:37:00",50.795,39.3,35.1,75.0,75.5,46.7,2026.0,Italy,607.0,371.0
609,592,Nottingham Trent University,United Kingdom,Europe,XL,CO,VH,Public,16.4,701,22.9,580,15.5,801,10.7,801,67.1,349,90.4,165.0,91.2,140.0,84.8,258.0,20.4,717,77.5,206=,27.9,611.0,United Kingdom,36005.0,15.0,0.25,"2 days, 6:46:00",43.4214999999999,20.8,14.1,83.3,38.1,89.1,2026.0,United Kingdom,609.0,611.0
609,741-750,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,Asia,M,FO,VH,Public,17.2,701,9.9,701,23.6,760,57.9,300,32.1,561,19.0,746.0,21.1,747.0,61.6,668.0,5.2,801,51.4,675=,27.9,651.0,Malaysia,7584.0,12.4,0.1,"2 days, 1:51:00",42.326,37.9,23.9,59.0,52.8,58.7,2026.0,Malaysia,609.0,651.0
613,661-670,University of Plymouth,United Kingdom,Europe,L,FC,HI,Public,13.8,701,14.2,701,15.4,801,36.7,508,61.3,382=,61.4,332.0,65.1,303.0,82.1,311.0,13.8,801,58.6,530=,27.8,553.0,United Kingdom,16895.0,17.8,0.22,"2 days, 13:39:00",45.0999999999999,23.0,21.2,77.9,65.8,82.2,2026.0,United Kingdom,613.0,553.0
622,559,Umm Al-Qura University,Saudi Arabia,Asia,XL,FC,HI,Public,23.6,537,15.4,701,61.3,291,4.9,801,100.0,95,26.1,643.0,19.6,770.0,71.3,510.0,11.5,801,36.8,801,27.6,491.0,Saudi Arabia,34462.0,13.3,0.06,"1 day, 23:53:00",46.61,35.4,25.3,75.7,34.5,63.2,2026.0,Saudi Arabia,622.0,491.0
624,721-730,Diponegoro University,Indonesia,Asia,XL,FC,HI,Public,30.0,405,53.2,229,30.5,622,2.3,801,46.4,461,7.1,801.0,12.0,801.0,35.5,801.0,24.2,655,51.0,680=,27.5,1559.0,Indonesia,36538.0,16.8,0.04,"2 days, 18:34:00",26.2279999999999,32.5,16.8,23.0,45.4,40.7,2026.0,Indonesia,624.0,1559.0
628,661-670,National Chung Hsing University,Taiwan,Asia,L,CO,VH,Public,28.6,436,30.9,463,29.4,642,22.5,677,12.3,801,14.0,801.0,19.0,781.0,34.5,801.0,42.2,416,56.3,573=,27.4,1259.0,Taiwan,16156.0,13.0,0.09,"1 day, 19:57:00",31.092,24.6,25.4,35.8,74.6,36.6,2026.0,Taiwan,628.0,1259.0
628,601-610,University of Crete,Greece,Europe,L,FC,HI,Public,19.3,639,17.8,701,3.9,801,69.6,219,2.7,801,7.2,801.0,12.0,801.0,61.9,664.0,4.5,801,40.6,801,27.4,649.0,Greece,12551.0,22.7,0.05,"2 days, 16:36:00",42.3925,24.7,29.1,68.5,66.3,46.2,2026.0,Greece,628.0,649.0
635,621-630,Tallinn University of Technology,Estonia,Europe,M,FO,VH,Public,16.2,701,18.6,694,33.5,581,23.5,665,53.2,425,26.8,635.0,32.8,578.0,81.2,326.0,50.5,341,43.0,801,27.2,672.0,Estonia,7451.0,13.2,0.12,40 : 60,41.898,26.2,24.9,66.0,69.2,58.4,2026.0,Estonia,635.0,672.0
635,631-640,University of Portsmouth,United Kingdom,Europe,L,CO,VH,Public,10.9,701,13.1,701,12.0,801,27.8,607,80.1,297,90.7,160.0,91.4,135.0,81.5,322.0,13.5,801,62.6,448,27.2,448.0,United Kingdom,22370.0,15.9,0.36,"2 days, 0:52:00",48.0605,22.0,20.1,88.7,51.1,94.5,2026.0,United Kingdom,635.0,448.0
638,576,Southern Cross University,Australia,Oceania,M,CO,VH,Public,6.0,701,4.3,701,3.9,801,55.5,322,92.7,203,62.6,322.0,66.2,296.0,61.1,677.0,6.2,801,65.9,385=,27.1,499.0,Australia,8883.0,43.0,0.22,"2 days, 21:31:00",46.3175,24.4,29.9,72.8,66.9,79.1,2026.0,Australia,638.0,499.0
638,570,"University of Chemistry and Technology, Prague",Czechia,Europe,S,FO,VH,Public,8.2,701,12.2,701,99.5,38,19.2,727,33.7,547,85.4,194.0,86.7,164.0,32.0,801.0,9.4,801,43.4,801,27.1,1342.0,Czechia,4505.0,8.8,0.29,"2 days, 9:43:00",29.6165,37.3,14.7,26.9,55.0,54.4,2026.0,Czechia,638.0,1342.0
642,539,University of Fribourg,Switzerland,Europe,M,CO,VH,Public,13.6,701,5.5,701,14.1,801,27.3,615,99.9,98,52.5,392.0,51.2,405.0,60.4,687.0,49.6,349,66.8,367,27,423.0,Switzerland,6817.0,14.8,0.17,"2 days, 17:35:00",49.0299999999999,39.1,33.8,62.4,71.9,81.3,2026.0,Switzerland,642.0,423.0
643,601-610,Manchester Metropolitan University,United Kingdom,Europe,XL,CO,VH,Public,18.8,654,16.4,701,11.4,801,16.8,766,63.1,369,61.4,331.0,65.2,302.0,89.0,189.0,19.2,741,78.0,195=,26.9,620.0,United Kingdom,33935.0,18.1,0.22,"2 days, 10:42:00",43.214,20.8,19.5,78.3,42.7,83.0,2026.0,United Kingdom,643.0,620.0
643,661-670,University of Manitoba,Canada,Americas,L,FC,VH,Public,19.2,643,20.0,657,31.8,604,22.6,675,20.1,,68.4,287.0,71.5,257.0,70.0,532.0,39.5,442,55.7,582=,26.9,564.0,Canada,26170.0,13.7,0.24,"2 days, 6:46:00",44.8375,29.5,25.1,72.9,61.4,60.4,2026.0,Canada,643.0,564.0
648,761-770,King Faisal University,Saudi Arabia,Asia,L,FC,HI,Public,25.3,506,29.8,476,24.5,743,6.3,801,99.4,121,11.0,801.0,14.9,801.0,66.0,609.0,14.9,801,54.3,617=,26.8,700.0,Saudi Arabia,22366.0,10.4,0.06,"2 days, 17:35:00",41.45,25.6,14.8,73.7,40.4,78.4,2026.0,Saudi Arabia,648.0,700.0
650,691-700,University of Brescia,Italy,Europe,M,FO,VH,Public,7.3,701,4.1,701,8.7,801,85.0,124,2.0,801,8.5,801.0,14.2,801.0,58.8,710.0,11.6,801,63.9,425=,26.7,391.0,Italy,10190.0,24.3,0.05,"2 days, 4:48:00",50.126,35.4,24.7,88.0,72.0,43.2,2026.0,Italy,650.0,391.0
654,641-650,De La Salle University,Philippines,Asia,L,CO,HI,Private not for Profit,32.7,374,58.6,197,9.6,801,6.8,801,2.8,801,3.5,801.0,7.8,801.0,27.3,801.0,60.7,266,44.1,801,26.6,1822.0,Philippines,22790.0,18.5,0.02,"2 days, 3:49:00",21.619,18.3,12.6,31.4,24.1,29.1,2026.0,Philippines,654.0,1822.0
660,671-680,Bar-Ilan University,Israel,Asia,L,FC,VH,Public,11.0,701,14.3,701,10.4,801,59.4,293,54.4,416,4.9,801.0,3.9,801.0,53.2,792.0,33.1,511,41.7,801,26.5,715.0,Israel,19887.0,20.6,0.04,"2 days, 10:42:00",40.939,33.8,34.8,52.6,65.9,32.8,2026.0,Israel,660.0,715.0
660,661-670,Memorial University of Newfoundland,Canada,Americas,L,FC,VH,Public,10.7,701,10.5,701,15.7,801,43.7,431,30.7,581,78.5,230.0,80.6,200.0,73.6,479.0,17.4,773,53.3,636=,26.5,527.0,Canada,16376.0,15.3,0.29,"2 days, 6:46:00",45.7005,30.3,25.7,65.2,82.1,86.2,2026.0,Canada,660.0,527.0
664,711-720,COMSATS University Islamabad,Pakistan,Asia,XL,CO,VH,Public,17.0,701,35.8,403,17.0,801,36.8,506,1.4,801,1.6,801.0,6.0,801.0,87.3,212.0,8.3,801,62.7,444=,26.4,658.0,Pakistan,33193.0,15.8,0.01,39 : 61,42.1595,19.8,16.9,86.2,43.5,50.9,2026.0,Pakistan,664.0,658.0
668,631-640,Chang Gung University,Taiwan,Asia,M,FO,VH,Private not for Profit,9.3,701,6.6,701,74.6,200,58.2,298,7.9,801,9.5,801.0,13.2,801.0,25.5,801.0,2.1,801,48.8,734=,26.3,805.0,Taiwan,7142.0,12.4,0.05,"2 days, 3:49:00",38.972,25.8,35.3,50.2,96.1,29.6,2026.0,Taiwan,668.0,805.0
676,641-650,Beirut Arab University,Lebanon,Asia,S,FC,HI,Private not for Profit,20.0,614,22.2,597,28.8,661,7.6,801,94.8,180,61.1,334.0,56.5,362.0,29.6,801.0,44.1,401,42.1,801,26.1,799.0,Lebanon,4167.0,10.4,0.21,"1 day, 21:55:00",39.079,43.0,17.3,46.3,21.8,88.2,2026.0,Lebanon,676.0,799.0
676,721-730,Jadavpur University,India,Asia,M,FO,VH,Public,23.2,544,10.5,701,13.7,801,55.8,319,20.1,,1.1,801.0,5.5,801.0,44.0,801.0,19.5,733,61.4,470,26.1,1172.0,India,12547.0,19.0,0.0,32 : 68,32.5865,36.6,15.9,45.0,53.9,20.3,2026.0,India,676.0,1172.0
678,671-680,University of Haifa,Israel,Asia,L,CO,VH,Public,17.4,701,13.0,701,15.8,801,44.8,417,17.8,751,6.7,801.0,5.2,801.0,69.6,539.0,29.6,554,67.4,360,26,607.0,Israel,16297.0,17.5,0.03,"2 days, 18:34:00",43.555,29.6,31.2,68.6,65.0,34.6,2026.0,Israel,678.0,607.0
680,641-650,Ritsumeikan University,Japan,Asia,XL,CO,HI,Private not for Profit,25.7,493,61.5,187,10.3,801,5.0,801,36.5,525,17.8,766.0,23.9,704.0,41.1,801.0,4.8,801,64.4,413=,25.9,1617.0,Japan,35919.0,18.0,0.1,37 : 63,25.378,20.7,16.2,28.4,63.4,46.9,2026.0,Japan,680.0,1617.0
680,801-850,University of Brawijaya,Indonesia,Asia,XL,FC,HI,Public,30.1,404,55.3,218,20.4,801,1.9,801,35.9,531,2.7,801.0,6.9,801.0,27.3,801.0,29.1,567,53.3,636=,25.9,1756.0,Indonesia,47186.0,16.1,0.04,"2 days, 12:40:00",23.0455,24.9,13.3,23.7,36.2,43.8,2026.0,Indonesia,680.0,1756.0
684,661-670,Comenius University Bratislava,Slovakia,Europe,L,FC,HI,Public,16.8,701,14.7,701,61.3,293,6.9,801,8.4,801,39.0,504.0,44.5,469.0,68.8,549.0,87.0,126,43.7,801,25.8,1326.0,Slovakia,22226.0,10.4,0.17,"2 days, 17:35:00",29.9305,29.4,17.0,37.2,30.0,52.9,2026.0,Slovakia,684.0,1326.0
686,,Cyprus University of Technology,Cyprus,Asia,S,CO,VH,Public,8.1,701,4.9,701,49.3,389,39.8,472,68.1,343,42.0,474.0,43.4,478.0,46.6,801.0,11.3,801,49.6,711=,25.7,555.0,Cyprus,3377.0,15.8,0.15,"2 days, 10:42:00",45.0689999999999,28.9,25.6,75.1,36.3,68.5,2026.0,Cyprus,686.0,555.0
688,951-1000,Baku State University,Azerbaijan,Asia,L,CO,HI,Public,22.0,566,20.1,654,94.0,85,1.9,801,13.4,801,7.0,801.0,11.2,801.0,22.1,801.0,64.1,243,43.3,801,25.6,1791.0,Azerbaijan,19165.0,12.1,0.05,"2 days, 12:40:00",22.4135,30.1,10.1,21.2,21.0,45.4,2026.0,Azerbaijan,688.0,1791.0
688,576,Tomsk Polytechnic University,Russian Federation,Europe,M,FO,VH,Public,9.4,701,15.4,701,96.0,67,7.0,801,14.8,801,88.8,179.0,83.9,178.0,60.4,686.0,2.0,801,47.7,765=,25.6,967.0,Russian Federation,9179.0,11.0,0.35,33 : 67,36.0819999999999,40.9,25.1,29.8,63.5,70.1,2026.0,Russian Federation,688.0,967.0
691,611-620,Eastern Mediterranean University,Northern Cyprus,Asia,L,FC,HI,Public,9.2,701,4.5,701,5.6,801,31.3,571,77.1,311,100.0,19.0,100.0,13.0,51.3,801.0,53.6,315,45.4,801,25.4,763.0,Northern Cyprus,14696.0,23.3,0.72,"2 days, 0:52:00",39.8354999999999,20.2,12.7,77.2,30.9,77.3,2026.0,Northern Cyprus,691.0,763.0
697,611-620,University of Klagenfurt,Austria,Europe,S,CO,VH,Public,7.2,701,5.8,701,57.4,318,16.4,777,98.2,138,94.8,127.0,95.2,108.0,43.9,801.0,13.6,801,36.3,801,25.1,637.0,Austria,3377.0,8.7,0.33,"2 days, 18:34:00",42.6369999999999,34.4,19.6,60.5,49.5,89.0,2026.0,Austria,697.0,637.0
701-710,781-790,Kasetsart University,Thailand,Asia,XL,CO,VH,Public,37.4,320,37.1,383,10.3,801,4.6,801,7.7,801,1.7,801.0,6.2,801.0,46.2,801.0,31.2,534,60.8,491=,-,1773.0,Thailand,69827.0,17.3,0.01,"2 days, 13:39:00",22.782,18.8,15.9,27.8,41.5,35.0,2026.0,Thailand,705.5,1773.0
701-710,691-700,Universidad Panamericana (UP),Mexico,Americas,L,FO,HI,Private not for Profit,15.9,701,34.4,419,81.2,162,1.7,801,24.5,655,5.0,801.0,4.0,801.0,14.3,801.0,73.5,191,36.2,801,-,1995.0,Mexico,17141.0,7.6,0.02,"2 days, 3:49:00",17.935,24.5,9.2,12.5,19.3,46.9,2026.0,Mexico,705.5,1995.0
701-710,651-660,University of Zagreb,Croatia,Europe,XL,FC,VH,Public,23.2,545,12.8,701,26.8,700,8.1,801,1.9,801,5.1,801.0,10.0,801.0,92.1,145.0,98.4,34,60.9,486=,-,1269.0,Croatia,62046.0,15.8,0.04,"2 days, 13:39:00",30.8684999999999,27.6,19.1,41.8,57.5,31.3,2026.0,Croatia,705.5,1269.0
711-720,721-730,Budapest University of Technology and Economics,Hungary,Europe,L,FO,VH,Public,20.8,595,37.5,375,18.6,801,15.3,800,4.6,801,22.7,691.0,28.8,629.0,60.0,691.0,37.8,460,57.9,545,-,1462.0,Hungary,18656.0,16.3,0.15,32 : 68,27.9025,23.0,18.4,34.2,65.1,38.9,2026.0,Hungary,715.5,1462.0
711-720,681-690,"Goldsmiths, University of London",United Kingdom,Europe,M,FO,VH,Public,18.3,668,7.5,701,20.8,801,17.0,765,89.1,230,97.8,93.0,97.9,82.0,22.7,801.0,25.2,637,43.0,801,-,575.0,United Kingdom,8195.0,13.8,0.48,"2 days, 21:31:00",44.506,28.2,23.5,71.2,48.8,80.8,2026.0,United Kingdom,715.5,575.0
711-720,595,ITMO University,Russian Federation,Europe,L,FO,VH,Public,12.7,701,17.4,701,92.6,89,11.0,801,27.2,621,44.5,453.0,49.7,418.0,60.1,689.0,3.9,801,26.6,801,-,1018.0,Russian Federation,14352.0,17.8,0.17,32 : 68,35.1055,30.4,29.9,33.0,80.6,57.9,2026.0,Russian Federation,715.5,1018.0
721-730,,Prince Sattam Bin Abdulaziz University,Saudi Arabia,Asia,L,FO,VH,Public,6.4,701,3.1,701,69.3,237,19.6,720,99.6,109,15.5,801.0,18.4,789.0,93.6,109.0,3.0,801,36.3,801,-,440.0,Saudi Arabia,24820.0,10.8,0.06,"2 days, 19:33:00",48.3704999999999,25.4,28.8,80.8,57.7,79.7,2026.0,Saudi Arabia,725.5,440.0
721-730,701-710,Taras Shevchenko National University of Kyiv,Ukraine,Europe,L,CO,VH,Public,21.9,567,50.1,254,30.7,619,3.9,801,1.7,801,3.7,801.0,8.2,801.0,37.6,801.0,72.0,200,37.9,801,-,1803.0,Ukraine,25696.0,11.2,0.05,"2 days, 8:44:00",22.1989999999999,25.7,15.4,22.4,28.6,30.5,2026.0,Ukraine,725.5,1803.0
721-730,761-770,University of Patras,Greece,Europe,L,FC,VH,Public,16.8,701,25.7,527,4.2,801,44.3,425,2.3,801,9.2,801.0,14.3,801.0,66.2,606.0,4.7,801,65.3,392,-,983.0,Greece,28311.0,27.5,0.06,"2 days, 3:49:00",35.7945,18.5,23.6,60.0,73.2,34.2,2026.0,Greece,725.5,983.0
721-730,741-750,UWE Bristol (University of the West of England),United Kingdom,Europe,XL,CO,HI,Public,10.6,701,15.1,701,8.9,801,25.2,633,66.1,354,88.9,176.0,89.9,150.0,72.4,493.0,4.2,801,53.3,636=,-,747.0,United Kingdom,30220.0,16.4,0.29,"2 days, 4:48:00",40.228,18.8,14.6,73.3,59.2,81.2,2026.0,United Kingdom,725.5,747.0
731-740,631-640,Far Eastern Federal University,Russian Federation,Europe,L,CO,HI,Public,13.9,701,9.5,701,98.7,47,2.6,801,16.7,769,79.3,226.0,80.5,204.0,48.0,801.0,7.1,801,37.5,801,-,1664.0,Russian Federation,18054.0,15.6,0.21,"2 days, 11:41:00",24.59,29.1,18.4,16.4,30.3,60.5,2026.0,Russian Federation,735.5,1664.0
731-740,681-690,Princess Nourah bint Abdulrahman University,Saudi Arabia,Asia,L,CO,VH,Public,18.3,666,24.1,561,28.7,664,7.2,801,83.8,264,31.3,575.0,35.9,537.0,74.6,452.0,2.8,801,49.8,706=,-,504.0,Saudi Arabia,20015.0,11.0,0.12,"4 days, 4:00:00",46.2145,29.3,21.8,78.5,33.1,85.0,2026.0,Saudi Arabia,735.5,504.0
741-750,661-670,Aberystwyth University,United Kingdom,Europe,M,CO,VH,Public,12.8,701,11.5,701,27.6,687,23.9,658,61.3,382=,42.0,475.0,45.4,457.0,63.3,646.0,11.0,801,63.1,439=,-,686.0,United Kingdom,6330.0,15.1,0.21,"2 days, 4:48:00",41.66,26.9,22.2,61.9,62.1,83.1,2026.0,United Kingdom,745.5,686.0
741-750,751-760,Kaunas University of Technology,Lithuania,Europe,M,FO,VH,Public,15.1,701,22.0,602,37.9,533,17.5,761,4.8,801,40.0,489.0,45.4,458.0,68.6,556.0,29.0,570,58.9,521=,-,1078.0,Lithuania,7308.0,13.0,0.11,34 : 66,34.0819999999999,25.2,19.9,52.8,46.8,42.2,2026.0,Lithuania,745.5,1078.0
741-750,711-720,Plekhanov Russian University of Economics,Russian Federation,Europe,L,FO,VH,Public,15.5,701,30.1,474,57.8,314,3.3,801,4.1,801,26.7,636.0,31.7,595.0,61.2,674.0,55.2,300,42.4,801,-,1737.0,Russian Federation,13681.0,8.5,0.14,"2 days, 7:45:00",23.5099999999999,26.8,13.3,25.0,23.3,44.2,2026.0,Russian Federation,745.5,1737.0
741-750,801-850,University of Baghdad,Iraq,Asia,XL,FC,VH,Public,18.1,675,41.2,330,31.1,614,2.5,801,2.8,801,1.2,801.0,1.1,801.0,69.0,545.0,85.6,134,43.4,801,-,1720.0,Iraq,75593.0,11.2,0.0,"2 days, 12:40:00",23.7724999999999,28.3,14.8,28.2,29.3,20.0,2026.0,Iraq,745.5,1720.0
741-750,751-760,University of Malta,Malta,Europe,M,FC,VH,Public,9.3,701,7.4,701,47.7,408,10.1,801,33.1,551,42.2,472.0,47.5,436.0,76.8,409.0,98.1,40,38.2,801,-,926.0,Malta,9650.0,11.8,0.18,"2 days, 13:39:00",36.7905,24.9,18.2,61.6,36.8,56.2,2026.0,Malta,745.5,926.0
741-750,751-760,University of Messina,Italy,Europe,L,FC,VH,Public,12.6,701,2.9,701,18.6,801,55.5,323,1.4,801,17.8,767.0,23.9,706.0,78.6,375.0,1.6,801,61.5,467=,-,538.0,Italy,14308.0,22.7,0.06,"2 days, 15:37:00",45.508,35.6,28.1,71.8,64.3,36.6,2026.0,Italy,745.5,538.0
