Name,Country,Region,QS Rank,QS Overall Score,Academic Reputation SCORE,Employer Reputation SCORE,Faculty Student Ratio SCORE,Citations per Faculty SCORE,International Faculty  SCORE,International Student SCORE,International Students Diversity SCORE,International Research Network SCORE,Employment Outcomes SCORE,Sustainability SCORE,THE Rank,THE Overall Score,THE Student Population,THE Student Staff Ratio,THE International Students,THE Female Male Ratio,THE Teaching,THE Research Environment,THE Research Quality,THE Industry Impact,THE International Outlook,Year
agh university of krakow,poland,Europe,801-850,42.6,13.1,30.6,54.7,12.7,4.4,7.3,12.1,75.6,4,47.4,1125,33.3245,"17,827",10.2,4%,33 : 67,32.7,21.6,39.8,71.6,34.8,2026
alfaisal university,saudi arabia,Asia,801-850,42.6,7.9,5.9,31.7,21.8,100,96.7,92.4,28.1,5.7,31,586,44.21,"3,443",11.3,37%,58:42:00,24.2,19.5,73.7,50.4,97.2,2026
azerbaijan state university of economics,azerbaijan,Asia,801-850,42.6,21.2,37.2,36.7,1.5,32,10.7,13.9,11.7,51.5,39.2,905,37.151,"13,473",9.2,7%,44:56:00,23.4,9.3,74.5,19.4,59,2026
bournemouth university,united kingdom,Europe,801-850,42.6,8,11,8.1,29.4,84.7,47.7,52.6,76.3,7.7,43.4,471,47.175,"15,605",19.9,24%,54:46:00,18.8,21.7,89.3,46.4,89.2,2026
de montfort university,united kingdom,Europe,801-850,42.6,6.4,9.5,6.8,16.7,81.4,96.4,96.6,57.1,10.5,64.5,751,40.111,"23,655",20.6,47%,48:52:00,17.7,16.4,70.5,50.4,92.9,2026
german jordanian university,jordan,Asia,801-850,42.6,14.6,28.7,34.6,12.7,85.3,23.9,26,18.3,11.3,22.1,997,35.517,"2,830",9.6,15%,36 : 64,22.4,13.6,60.3,24.5,78.6,2026
keele university,united kingdom,Europe,801-850,42.6,8.5,8,21.3,28.5,60.9,50.7,42.3,66.4,10.1,39.4,563,44.861,"10,370",15.4,20%,62:38:00,23.5,22.6,75.5,63.8,82.3,2026
middlesex university,united kingdom,Europe,801-850,42.6,7.5,9.3,11.3,14.3,88.6,99.7,99.7,56.5,24.6,40,604,43.6105,"14,860",19.8,49%,59:41:00,22.4,18.7,76.1,45.3,92.5,2026
qassim university,saudi arabia,Asia,801-850,42.6,15.5,6.5,47,3.8,100,25.1,31.1,72.1,3,52.2,808,38.9425,"29,826",9.5,11%,45:55:00,30.5,19.3,56.2,29.7,84,2026
tokyo university of science,japan,Asia,801-850,42.6,11.5,57.5,12.1,16.3,15.1,7.2,10.7,22.6,49,46.5,1424,28.375,"18,002",24.1,4%,25 : 75,23.8,26.8,27.7,74.8,30.4,2026
universidade federal de santa catarina,brazil,Americas,801-850,42.6,26.1,8.3,25.2,15.8,5.9,4,8.7,64.4,23.7,65.2,1035,34.8395,"36,229",14.9,3%,50:50:00,36.3,22.4,40.8,65.5,37,2026
universidade federal de são paulo,brazil,Americas,801-850,42.6,14.1,8.8,97.9,10.4,6.1,2.2,6.7,49.5,3.6,61.8,919,36.9075,"20,218",11.8,1%,60:40:00,36,25.3,46.2,59.2,36.3,2026
universiti malaysia terengganu,malaysia,Asia,801-850,42.6,16.7,8.2,18.6,28.9,23.6,30.3,31.7,58.9,5,58.2,1017,35.109,"9,037",13.7,11%,69:31:00,22.6,20.2,55.1,36.6,61.2,2026
university of brighton,united kingdom,Europe,801-850,42.6,9.6,9.7,12.4,24.9,64.9,68.1,71.2,73.1,11.5,39.1,786,39.436,"14,840",16.8,23%,61:39:00,19.9,19.3,63.4,64.9,84.7,2026
university of engineering and technology lahore,pakistan,Asia,801-850,42.6,11.1,49.1,20.4,15.1,20.1,2.3,6.5,56.5,54.1,40.7,1299,30.415,"13,860",13.5,2%,33 : 67,20.2,10.5,54.3,32.4,51,2026
university of greenwich,united kingdom,Europe,801-850,42.6,6.2,7,5.2,15.2,94,99.6,99.6,75.8,19.7,44.9,616,43.3035,"22,915",22.4,54%,57:43:00,17.6,16.5,81.6,39.1,97.1,2026
university of hyderabad,india,Asia,801-850,42.6,17.7,4.6,20.7,54.5,20.1,2.6,6.9,34,3.4,42.1,1023,35.048,"5,071",12.7,1%,46:54:00,42.4,21.6,41.6,48.4,24.8,2026
university of latvia,latvia,Europe,801-850,42.6,14.5,22.8,10,10.4,16.1,10,15.8,66.6,92,56,1100,33.709,"11,634",30.9,9%,67:33:00,20.5,31.3,42.3,52.3,50.7,2026
university of lincoln,united kingdom,Europe,801-850,42.6,8,9.3,13,14.6,84.8,73.7,75.2,73.7,6,63.8,646,42.454,"15,645",15,24%,58:42:00,20.5,18.5,77.2,34.1,86.9,2026
university of modena and reggio emilia,italy,Europe,801-850,42.6,12.3,7.6,4.6,56.7,4.8,7.5,13.1,55.1,20.3,54.4,534,45.593,"18,479",18.9,4%,54:46:00,34.7,25.7,72.9,77.9,38.9,2026
university of namur,belgium,Europe,801-850,42.6,6.4,8.8,5.8,44.4,37.2,59.3,62.7,47.5,10.3,53.4,842,38.14,"6,480",20,17%,58:42:00,26.8,26.7,49,62.4,70.6,2026
university of westminster,united kingdom,Europe,801-850,42.6,12.3,11.4,7.1,9,85.2,99.2,99.2,37.6,34.2,40.3,875,37.673,"19,530",20,51%,59:41:00,19,16.5,63.1,48.7,85.4,2026
altai state university,russian federation,Europe,851-900,42.6,12.9,7,90.7,1.9,8.6,71.3,68.1,18.3,2,46.2,1796,22.3405,"9,271",18.5,27%,56:44:00,23,16.4,17.1,25.3,62.1,2026
australian catholic university,australia,Oceania,851-900,42.6,12,11.8,8,19.4,86.4,61.7,65.4,35.6,1.7,49.3,425,48.927,"22,604",31.7,20%,76:24:00,17.7,24.7,97.1,28,83.9,2026
azerbaijan state oil and industry university,azerbaijan,Asia,851-900,42.6,13.1,19,73.3,1.5,46.8,9.7,13.9,8.5,45,31,1962,18.5745,"12,831",10.3,6%,38 : 62,25,8.1,15.7,19.7,44.7,2026
azerbaijan technical university,azerbaijan,Asia,851-900,42.6,19.1,25.5,82.2,1.4,13.9,13.4,16.5,4.2,11.6,27.9,2097,15.5225,"9,118",6.9,8%,47:53:00,26.2,7.5,5.7,30.4,35.9,2026
binus university,indonesia,Asia,851-900,42.6,20.1,33.3,28.5,4.3,51.5,8.7,13.5,14.4,20.6,41.1,1445,28.1345,"15,258",13.9,4%,41:59:00,21.4,23.5,34.2,50.6,36.3,2026
dhofar university,oman,Asia,851-900,42.6,10,9.5,12.1,19.6,100,11.1,13.8,35.1,70.3,18.7,677,41.8025,"3,049",15.9,7%,53:47:00,16.9,19,80.8,27.8,79.4,2026
edinburgh napier university,united kingdom,Europe,851-900,42.6,7.9,5.5,6.1,21.9,89.5,84.7,86.1,59.4,8.6,40.1,674,41.886,"14,615",21.8,21%,55:45:00,17.5,19.7,75.3,41.2,90.3,2026
instituto politécnico nacional,mexico,Americas,851-900,42.6,26.6,33.9,17,3.1,6.7,2.1,6.6,47.4,12.7,56.3,2021,17.382,"1,39,234",12.7,0%,44:56:00,21.9,10.7,16.2,25.4,25.9,2026
liverpool john moores university,united kingdom,Europe,851-900,42.6,13.5,12,9.6,20.4,53.8,21.2,27.3,89.7,11.5,53.9,568,44.705,"24,415",18.1,16%,57:43:00,19.7,19.7,83.8,51.2,79.9,2026
mendel university in brno,czechia,Europe,851-900,42.6,9.8,8.3,68.8,8.3,14.3,38.8,41.5,74.1,4.8,49.4,1329,29.88,"9,185",16.2,17%,54:46:00,25.4,18.2,39.7,23.1,57,2026
multimedia university,malaysia,Asia,851-900,42.6,18.9,27,17.3,9.2,53.6,56.8,60.8,26.9,5.1,39.1,1126,33.2785,"8,957",12.9,17%,45:55:00,26.1,21.3,38.7,74.8,64,2026
prince of songkla university,thailand,Asia,851-900,42.6,32.4,13.5,20.4,6.9,7.4,2.7,7.2,55.4,5.6,60.9,1399,28.6325,"33,623",13.1,2%,68:32:00,24.3,16,39.4,51.6,39.2,2026
tokyo university of agriculture and technology,japan,Asia,851-900,42.6,15.6,11.2,18.7,40.3,11.6,11.3,15.3,42.4,1.7,33.2,1204,32.038,"5,923",14.2,7%,36 : 64,34,25.5,28,82.2,39,2026
université du québec,canada,Americas,851-900,42.6,20.5,14.9,2.5,16.8,40.3,19,14.4,65.4,31.4,51.6,541,45.3785,"50,342",17.1,17%,58:42:00,33.4,33.5,57.1,73.2,76.7,2026
universiti pendidikan sultan idris,malaysia,Asia,851-900,42.6,17,18.5,39.1,5.5,45.3,63.4,56.9,23,5.2,42.5,645,42.5,"5,754",8.9,28%,59:41:00,39.4,27.6,48.4,56.2,81.4,2026
university of ghana,ghana,Africa,851-900,42.6,17.8,12.4,2.1,10.8,8.1,1.8,1.6,80.8,96.8,52.8,1043,34.7575,"72,334",46.5,1%,49:51:00,17,32.2,49.2,46.8,50.3,2026
university of santo tomas,philippines,Asia,851-900,42.6,20.3,45.9,14.1,1.7,38.5,9,7,19.1,25.5,40.2,1657,24.6795,"42,253",15.1,6%,58:42:00,23,10.2,32.1,21.1,59.5,2026
verona university,italy,Europe,851-900,42.6,13.1,5,5.9,50,6.3,8.4,14.1,70.3,6.9,52.7,398,49.925,"21,809",25.6,5%,64:36:00,34.6,31.1,81.6,71.1,45,2026
vilnius gediminas technical university,lithuania,Europe,851-900,42.6,13.8,17.4,38.4,15.6,19.3,54.3,58.7,42.7,9.3,35.1,1543,26.5315,"8,333",13.1,21%,34 : 66,20.8,17.9,31,47.3,53.5,2026
yarmouk university,jordan,Asia,851-900,42.6,23.4,32,5.3,5.2,7.7,25.9,28.4,44.6,42.3,45.3,720,40.7555,"21,300",23.6,15%,Unknown,29.3,17.9,69.9,29.9,63.4,2026
future university in egypt,egypt,Africa,901-950,42.6,7.1,40.5,47.2,5.3,18.2,33,34.5,50.4,3.3,35.7,816,38.753,"7,962",9.5,11%,45:55:00,22.2,10.6,78.6,18,64.4,2026
kanazawa university,japan,Asia,901-950,42.6,13.2,7.1,58.1,22.1,11.6,10.8,15.4,33.9,1.7,53.1,1147,32.917,"10,216",9.9,6%,36 : 64,36,21.8,35.6,67.5,34.6,2026
khon kaen university,thailand,Asia,901-950,42.6,26.6,22.6,11.7,8.8,6.4,3.3,7.6,57.1,5.9,59.9,1278,30.6365,"32,602",16.3,2%,61:39:00,28.6,17.3,41.8,49.5,35.5,2026
london south bank university,united kingdom,Europe,901-950,42.6,4.9,6.3,13.6,8.5,94.1,98.1,98.2,47.7,15.2,50.8,713,41.024,"14,425",15.9,40%,55:45:00,18.5,13,75.6,48.1,95.9,2026
lovely professional university,india,Asia,901-950,42.6,20,27.3,17.1,10.9,14,7,11.5,73.7,1.7,49.4,594,43.9435,"36,891",14.9,8%,28 : 72,24.6,17.6,87.6,31.5,53.9,2026
nagasaki university,japan,Asia,901-950,42.6,9,3.7,84.3,12.2,8.5,10.8,15.3,48.4,3.4,59.6,1358,29.37,"8,747",6.7,5%,39 : 61,30.1,16,35.4,55.2,40.3,2026
osaka metropolitan university,japan,Asia,901-950,42.6,18.1,14,57.2,12.3,6.2,5.2,9.4,34.1,8.9,47.7,1459,27.9465,"15,703",8.7,4%,37 : 63,31.3,16.9,28.8,78.3,27.2,2026
panjab university,india,Asia,901-950,42.6,9.4,11.5,10.3,43.5,20.1,3.2,7.5,33,39.6,50.9,665,42.09,"16,479",15.9,2%,65:35:00,38.2,19.6,71.2,48.3,24.6,2026
saveetha institute of medical and technical sciences,india,Asia,901-950,42.6,8.9,2.9,26.2,20.3,84,10.7,15.4,83,1.7,48.2,372,50.7375,"15,494",9.7,6%,52:48:00,37.9,18.4,93.4,20.4,71.8,2026
taif university,saudi arabia,Asia,901-950,42.6,7,2.7,9.2,30.2,100,4.7,9.2,80.5,2.9,46,782,39.4995,"38,212",16.7,3%,58:42:00,16.2,16.4,77.7,23.3,76.3,2026
tallinn university,estonia,Europe,901-950,42.6,11.1,12.4,12.6,9.9,63.9,30.6,36.5,55.1,45.6,44.3,1052,34.585,"3,770",7.9,11%,72:28:00,27.2,24.5,47.8,24.4,55.2,2026
tashkent state technical university,uzbekistan,Asia,901-950,42.6,30.6,16.2,20.1,2.1,62.9,1.8,6.1,9.9,30.7,33.9,1088,33.938,"14,012",13.9,1%,0.806944444,21,8.6,75.3,16.6,26.6,2026
university of hertfordshire,united kingdom,Europe,901-950,42.6,5.8,6.7,6.8,12.1,81.4,100,100,57.7,17,39,716,40.8465,"27,285",19.5,61%,47:53:00,18.2,13.2,76.5,44.8,92.1,2026
university of maribor,slovenia,Europe,901-950,42.6,10.8,15.6,36.4,12.7,2.3,27.3,28.3,67.4,41.3,49.9,1389,28.733,"13,082",13.9,14%,55:45:00,21.5,18,41.2,46.2,39.5,2026
university of peshawar,pakistan,Asia,901-950,42.6,9.4,11.9,87.2,12.3,20.1,2,1.7,49,19.2,25.8,1117,33.387,"19,301",34,0%,24 : 76,24,12,59.1,34.8,49.4,2026
university of salford,united kingdom,Europe,901-950,42.6,10.8,7.9,9.1,12,55.6,88.2,89.2,61.6,13.8,43.4,851,38.007,"22,475",20.9,30%,56:44:00,19,14.8,64.9,57,84.8,2026
university of south africa,south africa,Africa,901-950,42.6,13.8,13.6,1.2,11.7,20.1,13.3,10.1,92.5,96,43.3,1276,30.6545,"2,07,954",84.5,2%,75:25:00,19.7,17.8,51,30.4,42.2,2026
al nahrain university,iraq,Asia,951-1000,42.6,8.2,24.1,98.9,3.7,2.5,1,5.5,15.6,10.1,29.4,1782,22.6375,"8,087",4.7,0%,57:43:00,29.7,8.9,28.8,21,24.2,2026
al quds university,palestine,Asia,951-1000,42.6,10.1,20.5,19.4,2.8,72.3,90.5,76.3,15,12.3,40.1,1802,22.2195,"10,065",10.9,33%,77:23:00,22.9,11,17.8,21.1,81.2,2026
athens university of economics and business,greece,Europe,951-1000,42.6,10.1,37.2,2.1,31.9,1.9,6.6,11,14.8,33.9,39.8,1207,32.0315,"9,211",44.7,5%,46:54:00,18.7,24.6,45.3,63.4,43.4,2026
charles sturt university,australia,Oceania,951-1000,42.6,6.4,9.4,14.1,13.9,66,47.2,52.2,60.4,13.4,64.9,775,39.622,"18,763",21.8,11%,69:31:00,18.8,20.2,72.3,52.2,59.2,2026
cy cergy paris university,france,Europe,951-1000,42.6,5.2,5.2,64.9,7.4,55.1,59,62.9,47.9,1.3,31.4,1075,34.151,"16,674",16,27%,50:50:00,26.3,20.5,38.1,56.5,90.1,2026
guru gobind singh indraprastha university,india,Asia,951-1000,42.6,5.8,14.6,12.5,48.5,5,9.4,12.6,26.9,12.8,43,847,38.028,"6,027",14.2,4%,29 : 71,30.8,12.4,74.2,26.9,26.8,2026
hasanuddin university,indonesia,Asia,951-1000,42.6,23.5,17.5,41.9,1.7,11.9,3.1,7.8,20,22,53,1839,21.3015,"37,300",14.8,1%,61:39:00,21.6,11.5,28,31.3,25.9,2026
immanuel kant baltic federal university,russian federation,Europe,951-1000,42.6,7.7,4.7,86.3,3.1,28.1,53.2,51,34.5,1.9,32.1,1363,29.2775,"6,711",16.3,19%,58:42:00,37.1,22.1,20.3,37.1,58,2026
ivane javakhishvili tbilisi state university,georgia,Asia,951-1000,42.6,11.9,1.4,83.5,1.4,1.9,7.5,12.2,24.7,95.2,18.2,2048,16.7215,"24,977",32.5,5%,59:41:00,15,12.2,15.9,18.9,43.1,2026
kumamoto university,japan,Asia,951-1000,42.6,9.2,4.4,67.5,21.4,8.2,6.9,11.4,33.9,3.4,50.4,1087,33.954,"9,401",9.5,6%,39 : 61,33.6,19.3,41.3,82,37,2026
national chung cheng university,taiwan,Asia,951-1000,42.6,18.9,34.8,16.6,9.5,7.9,6.3,10.5,28.9,5.1,51.6,1488,27.412,"9,183",14.8,4%,46:54:00,21.4,24.8,28.4,77.3,30.6,2026
north south university,bangladesh,Asia,951-1000,42.6,16.9,54.1,7.5,6.6,10.5,1.6,6,30.2,11.7,37.3,939,36.5615,"16,380",19.1,0%,44:56:00,14.8,11.3,80.3,29.4,48.7,2026
north west university,south africa,Africa,951-1000,42.6,8.4,14.9,7,24.9,9.2,3.1,7.7,94.6,24.8,60.4,898,37.2045,"41,784",24.1,2%,63:37:00,22.3,18.8,63.8,45.1,56.4,2026
okayama university,japan,Asia,951-1000,42.6,11.5,5.1,67.5,14.7,8.3,11.6,17,41.7,3.4,58.3,1025,35.0305,"13,057",10.3,9%,40 : 60,34.5,23.1,39.2,87.1,38.8,2026
sophia university,japan,Asia,951-1000,42.6,18.7,27.2,25.9,2.5,41,20.3,26.4,9.1,21.3,48.7,1930,19.1205,"13,016",12.2,12%,60:40:00,22.5,11.1,13.9,33.6,50,2026
robert gordon university,united kingdom,Europe,951-1000,42.6,4,19.4,6.7,11.4,78.5,84.4,85.8,34.2,9.4,46.9,828,38.43,"11,720",22.1,33%,64:36:00,17.3,13.9,69.9,39.2,90.1,2026
universidad nacional mayor de san marcos,peru,Americas,951-1000,42.6,28.9,28.4,11,1.7,20.1,19.4,21.7,32.9,53,24.3,2058,16.505,"42,959",13.3,1%,44:56:00,20.6,10.6,13.8,16.6,34,2026
university of bahrain,bahrain,Asia,951-1000,42.6,14.3,15.1,8.1,5,94.1,10.5,14,38.7,55.5,28.9,1185,32.299,"22,268",25.2,6%,73:27:00,14,15.2,60.8,21.4,62.2,2026
university of lahore,pakistan,Asia,951-1000,42.6,17.8,23.4,14.3,8.5,8,6,9.7,76.4,3.4,62.2,792,39.297,"21,224",14,4%,39 : 61,19.8,13,81.8,21.4,57.2,2026
university of the western cape,south africa,Africa,951-1000,42.6,12,6.4,6.1,23.9,30.3,5.5,10.5,84.4,28.1,35.7,753,40.0635,"24,431",34.2,4%,63:37:00,22.9,24.8,68.3,24.4,62,2026
al azhar university,egypt,Africa,1001-1200,42.6,21.5,13.9,14.9,2,1.7,16.8,12.7,64.4,33.2,35.3,970,36.033,"2,81,032",21.6,11%,41:59:00,22.1,12.8,68,24.6,58.9,2026
alexandru ioan cuza university,romania,Europe,1001-1200,42.6,11.7,20.6,7.8,5.8,4.6,17,21.4,49.1,23.1,48.7,1736,23.527,"24,352",16.9,9%,61:39:00,22.5,12.2,29.2,41.1,39.3,2026
an najah national university,palestine,Asia,1001-1200,42.6,13.5,14.5,11.5,4.3,49.8,47.4,43.8,39,11.3,47.1,914,36.959,"25,887",27,12%,63:37:00,24.7,13,66.9,26,63.9,2026
arab academy for science technology and maritime transport,egypt,Africa,1001-1200,42.6,7.5,12.4,44.7,2.4,9.2,34.9,33.6,27,16.8,29.7,1020,35.0975,"32,274",10.6,14%,48:52:00,35.1,20.6,44.3,28.6,57.8,2026
assiut university,egypt,Africa,1001-1200,42.6,16.3,15.1,20.7,4,21.1,7.2,10.6,66.5,3,53.3,1300,30.4025,"86,744",13.2,5%,51:49:00,23.6,12.4,48.3,25.3,57.9,2026
banaras hindu university,india,Asia,1001-1200,42.6,18.9,10.6,14.4,18.8,1.5,3,7.2,59.3,15.6,44.5,605,43.5905,"12,447",7.9,4%,49:51:00,49.9,18,67.8,31,27.6,2026
birmingham city university,united kingdom,Europe,1001-1200,42.6,8.2,8,8.7,6.5,54.9,65.5,68.8,44.5,12.1,37.9,952,36.297,"27,055",18.5,31%,62:38:00,17.9,13.4,65.5,25.2,86.3,2026
chung yuan christian university,taiwan,Asia,1001-1200,42.6,9.9,9.2,6.9,25.2,5.3,11.8,14.9,17.3,28.6,46.7,1364,29.2745,"14,676",30.2,8%,47:53:00,18.9,24.2,36.4,64.9,42.2,2026
daffodil international university,bangladesh,Asia,1001-1200,42.6,15.6,23,5.7,6.9,7.7,5,8.6,45.1,8.3,51.7,882,37.5585,"17,085",22,5%,37 : 63,12.1,13,81.7,20.1,65.4,2026
financial university under the government of the russian federation,russian federation,Europe,1001-1200,42.6,4.9,17.4,44.1,2.7,6.7,39.2,44.7,37.6,57.5,43.8,1198,32.1495,"16,514",13.7,13%,57:43:00,30,21.1,42.5,35.2,40.3,2026
georgian technical university,georgia,Asia,1001-1200,42.6,7.1,7.1,1,54.4,20.1,19.4,21.7,7.8,29.3,3,1924,19.3635,"17,297",13.8,3%,24 : 76,29.8,9,14.5,17,39.1,2026
gifu university,japan,Asia,1001-1200,42.6,6.4,4.5,58.9,14.3,7.1,6.2,10.2,23.4,1.8,44.1,1366,29.206,"7,064",15.3,4%,38 : 62,27.7,23.9,30,68.9,31.3,2026
glasgow caledonian university,united kingdom,Europe,1001-1200,42.6,7.2,9.5,6.3,11.2,45.5,77.3,79.4,40.3,8.5,56.7,913,36.9795,"17,335",25.9,30%,57:43:00,17.8,15.2,63.7,48.7,83.5,2026
kyushu institute of technology,japan,Asia,1001-1200,42.6,5,9,12.9,37.5,10.4,5.9,10.1,21.6,1.8,34.9,1486,27.4515,"5,616",16.1,4%,0.643055556,26.4,16.5,30.9,66.9,39.1,2026
leeds beckett university,united kingdom,Europe,1001-1200,42.6,5.1,10.3,5.2,13.5,46.9,45.2,50.3,36.6,10.8,61.7,822,38.5725,"19,825",17,23%,54:46:00,19.2,15.9,69.2,48,74.9,2026
lobachevsky state university of nizhni novgorod,russian federation,Europe,1001-1200,42.6,10,8.2,50.9,3.5,2.6,37,42.6,18,3.9,38.2,1825,21.553,"20,444",10.5,13%,51:49:00,31.5,13.9,13.8,35.3,35.7,2026
lodz university of technology,poland,Europe,1001-1200,42.6,6,7.3,59,16,4.1,8.3,12.4,49.2,4.1,40.3,1589,25.7195,"10,476",11.7,6%,38 : 62,25.9,15.8,28.5,61.8,33,2026
london metropolitan university,united kingdom,Europe,1001-1200,42.6,5.9,7.3,4.7,7,68.5,97.6,97.7,22.4,20.8,20.9,752,40.1085,"12,395",28.2,64%,64:36:00,16.6,14.4,76.6,30.2,91.3,2026
makerere university,uganda,Africa,1001-1200,42.6,13.4,5.3,5.8,6.5,8.3,13.6,10.3,65.3,98.3,42,923,36.856,"25,506",19.3,4%,43:57:00,21.5,26.6,54.2,32.8,69.7,2026
mansoura university,egypt,Africa,1001-1200,42.6,18.8,15.8,5.2,5,9.9,21.2,24.5,81.9,12.6,55.5,892,37.306,"1,65,971",19,14%,55:45:00,20.2,11.9,69.4,32.9,76.8,2026
mustansiriyah university,iraq,Asia,1001-1200,42.6,8.3,23.5,64.9,1.8,43.6,6.3,5,19.2,10.4,26.5,1892,20.2465,"32,844",8.5,1%,55:45:00,26.8,9.8,19.8,23.9,34.7,2026
mutah university,jordan,Asia,1001-1200,42.6,15.6,21.8,12.1,3.4,15.7,32.9,32.2,28,10.1,33.2,1440,28.2285,"15,579",21.6,13%,53:47:00,25.4,13.7,39.2,18,57.1,2026
niigata university,japan,Asia,1001-1200,42.6,6.6,5.1,88.7,6.7,6.6,6.1,10.6,23.1,7.2,43,1304,30.3815,"11,826",7.1,3%,37 : 63,31.2,15.7,40.9,54.3,29.1,2026
obuda university,hungary,Europe,1001-1200,42.6,7.9,8.9,3.9,19.6,34.7,13.3,19.3,44.5,5.1,42.4,722,40.682,"8,068",26.6,7%,0.888888889,17.4,30.9,72.8,27.2,48.8,2026
poznan university of technology,poland,Europe,1001-1200,42.6,10.9,13.1,39.8,12.8,3.4,10.7,15.5,47.8,7.4,27.6,1551,26.2995,"13,680",11,8%,31 : 69,25.7,14,34.7,47.7,31.2,2026
sheffield hallam university,united kingdom,Europe,1001-1200,42.6,9.8,13.4,10.9,7.1,42.6,42.7,48,60.6,12.3,40.6,976,35.935,"29,535",19,23%,55:45:00,18,14.1,65.5,34.9,73.2,2026
siberian federal university,russian federation,Europe,1001-1200,42.6,7.8,9.9,29.9,7.9,56.8,46,47.4,37.7,10.3,44.4,986,35.7465,"8,610",19,13%,47:53:00,34.2,26.9,36.6,61.1,59.1,2026
slovak university of technology in bratislava,slovakia,Europe,1001-1200,42.6,10.8,10.6,48.9,7.7,4.8,29.1,21.8,54.2,17.9,28.1,1631,25.2725,"10,809",12.9,19%,33 : 67,28.7,14.5,24.7,45.4,45,2026
southern federal university,russian federation,Europe,1001-1200,42.6,7,7.5,65.4,3.5,4.9,42.3,47.6,43.6,3.7,31.4,1688,24.246,"18,741",12.8,15%,57:43:00,23.8,16.3,24.6,38.7,47.6,2026
srm institute of science and technology,india,Asia,1001-1200,42.6,14.1,21.8,17.1,8.6,1.7,2.6,7.1,75.1,4.9,49.2,1050,34.616,"53,777",13.1,2%,43:57:00,25,13.6,67.4,27.8,26.2,2026
sumy state university,ukraine,Europe,1001-1200,42.6,6.3,11,47.1,5.2,3.9,29.1,29.5,35.5,4.5,48.2,1188,32.2545,"7,608",13.1,7%,39 : 61,20.6,16.4,56.1,21.6,49.7,2026
széchenyi istván university,hungary,Europe,1001-1200,42.6,12.2,36.6,28.9,2.9,4.9,13.4,19.3,16.5,4.8,44.9,1838,21.313,"12,060",16.1,6%,44:56:00,18.9,13.1,27.8,27.9,33.1,2026
telkom university,indonesia,Asia,1001-1200,42.6,13.6,14.7,23.3,2.5,53.5,12.1,17,15.5,11.6,36.3,1713,23.876,"18,089",14.7,10%,41:59:00,16.5,12.8,32.7,36.1,53.9,2026
hashemite university,jordan,Asia,1001-1200,42.6,15.6,23.7,5.5,7.8,9.9,18.4,13.9,45.1,5.1,45.4,1164,32.6645,"21,051",23.5,13%,64:36:00,14,16.1,59.7,34.7,60.9,2026
tokyo metropolitan university,japan,Asia,1001-1200,42.6,17.5,8.2,41.9,14.8,9.7,8,11.6,39.5,4.9,26.4,1520,27.024,"8,789",10.7,5%,39 : 61,29.7,16.2,29.8,52.8,33.5,2026
universidad del valle,colombia,Americas,1001-1200,42.6,24.1,9.7,11.1,2.8,3.3,2.2,6.6,24.7,28.8,34.9,1992,17.973,"33,529",8.1,1%,50:50:00,24.9,9.4,13.5,21.1,40.1,2026
universidad peruana cayetano heredia,peru,Americas,1001-1200,42.6,15.2,12.1,59.1,3.6,1.6,1.8,1.6,23.9,4.6,53.2,1079,34.0635,"8,598",15.1,1%,67:33:00,20.2,16.1,61.2,33.7,49.7,2026
universidad pontificia bolivariana,colombia,Americas,1001-1200,42.6,10.7,12.7,83.9,2.8,4.8,4.5,8.8,17.7,27.6,28.5,1953,18.7465,"9,763",11,3%,57:43:00,25.5,12,12.3,36.1,34.8,2026
universidade federal do paraná,brazil,Americas,1001-1200,42.6,19.4,8.7,25.7,9.8,3.9,11.2,8.5,55.4,18,40,1324,29.98,"33,204",12.2,8%,50:50:00,37.2,18.5,29.7,51.9,35.4,2026
universitas sumatera utara,indonesia,Asia,1001-1200,42.6,14.4,13.4,38,1.8,14.1,2.6,7,28.6,7.4,46,1881,20.4835,"40,855",18.1,2%,55:45:00,17.8,11.3,27.6,21.2,37.7,2026
université de bretagne occidentale,france,Europe,1001-1200,42.6,6.2,5.4,32.1,25.2,20.1,19.4,21.7,82.7,3.6,47.2,977,35.9125,"22,138",24.8,12%,59:41:00,27,19.6,51.8,49.4,63.3,2026
universiti malaysia perlis,malaysia,Asia,1001-1200,42.6,10.7,9.1,29.8,13.7,1.8,4.9,9.1,47.9,5.2,43.1,1601,25.6015,"10,470",13,3%,47:53:00,23.5,13.9,34.2,35.2,39.6,2026
universiti malaysia sarawak,malaysia,Asia,1001-1200,42.6,20.1,14.4,17.3,6.8,43.9,19.7,23,35.9,5,42.6,1193,32.205,"11,981",15.5,14%,70:30:00,31.4,22.1,29.7,77.7,60.2,2026
university of anbar,iraq,Asia,1001-1200,42.6,25.3,15.4,27.2,3,3.5,1.8,6.3,25.9,5.6,31.7,1298,30.418,"27,797",11.1,1%,57:43:00,25,11.1,53.2,36.6,32,2026
university of colombo,sri lanka,Asia,1001-1200,42.6,15.1,20.9,3.3,6.1,1.2,1.5,5.9,20.7,76,61.1,1008,35.3415,"35,859",32.1,1%,61:39:00,26,11.7,67.1,27.4,40.7,2026
